id,track,topic,problem,inputType,variables,answer,acceptedFormats,solution1,solution2,solution3,solution4,solution5,hint1,hint2,date
11,standard,Simultaneous Equations,Two numbers sum to 30 and their difference is 12. Find both numbers.,single,x | y,21 and 9,"21 and 9 | 9 and 21 | x = 21, y = 9 | 21, 9 | 9, 21",Let the two numbers be x (larger) and y (smaller). Write: x + y = 30 and x - y = 12,"Add the equations: 2x = 42, so x = 21","Substitute: 21 + y = 30, so y = 9",Check: 21 + 9 = 30 ✓ and 21 - 9 = 12 ✓,The two numbers are 21 and 9,Assign variables to the two numbers and write one equation for their sum and one for their difference,Adding the two equations eliminates one variable — try that first,
12,standard,Simultaneous Equations,Solve: 4x + y = 10 and 2x - 3y = 12,single,x | y,"x = 3, y = -2","x = 3, y = -2 | x=3, y=-2 | (3, -2) | x = 3 and y = -2","From the first equation, isolate y: y = 10 - 4x",Substitute into the second: 2x - 3(10 - 4x) = 12,"Expand: 2x - 30 + 12x = 12, so 14x = 42 and x = 3",Substitute back: y = 10 - 4(3) = 10 - 12 = -2,"Solution: x = 3, y = -2","Isolate y from the first equation, then substitute into the second","After substituting and expanding, collect x-terms to get 14x = 42",
13,standard,Trigonometry,Solve sin x = √3/2 for 0° ≤ x ≤ 360°,multiple,x,"x = 60°, 120°","x = 60°, 120° | x = 120°, 60° | 60°, 120° | 60, 120 | x = 60 and x = 120",The reference angle where sin = √3/2 is sin⁻¹(√3/2) = 60°,Sine is positive in the first and second quadrants,First quadrant solution: x = 60°,Second quadrant solution: x = 180° - 60° = 120°,Solutions: x = 60° and x = 120°,Find the reference angle first — it's the acute angle whose sine equals √3/2,Sine is positive in two quadrants. Use the reference angle to find a solution in each,
14,standard,Trigonometry,Solve cos x = -1/2 for 0° ≤ x ≤ 360°,multiple,x,"x = 120°, 240°","x = 120°, 240° | x = 240°, 120° | 120°, 240° | 120, 240 | x = 120 and x = 240",The reference angle for |cos x| = 1/2 is cos⁻¹(1/2) = 60°,"Since cos x is negative, x must lie in the second or third quadrant",Second quadrant: x = 180° - 60° = 120°,Third quadrant: x = 180° + 60° = 240°,Solutions: x = 120° and x = 240°,"Find the reference angle using |cos x| = 1/2, then determine which quadrants give a negative cosine",Cosine is negative in the second and third quadrants,
15,standard,Trigonometry,Evaluate exactly: sin 60° × cos 30° + cos 60° × sin 30°,single,,1,1 | 1.0 | = 1,"Recall exact values: sin 60° = √3/2, cos 30° = √3/2, cos 60° = 1/2, sin 30° = 1/2",Substitute: (√3/2)(√3/2) + (1/2)(1/2),Calculate each product: 3/4 + 1/4,Add the fractions: 4/4 = 1,Bonus insight: this expression equals sin(60° + 30°) = sin 90° = 1,Use exact values: sin 60° = cos 30° = √3/2 and sin 30° = cos 60° = 1/2,"Multiply each pair first, then add — the fractions share a common denominator",
16,standard,Trigonometry,"Given sin θ = 3/5 and 0° < θ < 90°, find the exact value of tan θ.",single,θ,tan θ = 3/4,tan θ = 3/4 | 3/4 | 0.75 | tan θ = 0.75,"Draw a right triangle: opposite = 3, hypotenuse = 5",Find the adjacent side using Pythagoras: adjacent² = 5² - 3² = 25 - 9 = 16,So adjacent = 4,Apply tan θ = opposite / adjacent = 3/4,Therefore tan θ = 3/4,"Use a right triangle — if sin θ = 3/5, the opposite side is 3 and the hypotenuse is 5","Find the missing (adjacent) side using Pythagoras, then use tan = opposite/adjacent",
17,standard,Trigonometry,Find the exact area of a triangle with two sides of 6 cm and 8 cm and an included angle of 30°.,single,,12 cm²,12 cm² | 12 cm2 | 12 | 12 square cm,"Use the formula: Area = ½ab sin C, where a and b are two sides and C is the included angle",Substitute: Area = ½ × 6 × 8 × sin 30°,Recall the exact value: sin 30° = 1/2,Calculate: Area = ½ × 6 × 8 × ½ = ½ × 48 × ½,Area = 48/4 = 12 cm²,"Use the area formula: Area = ½ab sin C, where C is the angle between the two given sides",sin 30° has an exact value of 1/2 — substitute it in and the arithmetic stays clean,
18,standard,Trigonometry,Solve 2sin²x + sin x - 1 = 0 for 0° ≤ x ≤ 360°,multiple,x,"x = 30°, 150°, 270°","x = 30°, 150°, 270° | 30°, 150°, 270° | 30, 150, 270 | x = 30, 150, 270",Let u = sin x. The equation becomes 2u² + u - 1 = 0,Factor: (2u - 1)(u + 1) = 0,So sin x = 1/2 or sin x = -1,For sin x = 1/2: x = 30° or x = 150° (first and second quadrants),"For sin x = -1: x = 270°. Solutions: x = 30°, 150°, 270°",Substitute u = sin x to turn this into a quadratic equation in u,After factoring you'll solve sin x = 1/2 and sin x = -1 separately — each gives different solutions,
19,standard,Logarithms,Evaluate: log₂ 32,single,,5,5 | = 5,Ask: '2 to the power of what equals 32?',"List powers of 2: 2¹ = 2, 2² = 4, 2³ = 8, 2⁴ = 16, 2⁵ = 32",So 2⁵ = 32,Therefore log₂ 32 = 5,Verify: 2⁵ = 32 ✓,Rewrite as 2? = 32 and think about successive powers of 2,32 = 2 × 2 × 2 × 2 × 2 — count the factors of 2,
20,standard,Logarithms,Solve: log₃ x = 4,single,x,x = 81,x = 81 | 81,Convert from logarithmic to exponential form using: log_b(x) = n  ⟺  b^n = x,log₃ x = 4 means 3⁴ = x,Calculate: 3⁴ = 3 × 3 × 3 × 3 = 81,Therefore x = 81,Verify: log₃ 81 = 4 since 3⁴ = 81 ✓,Convert from log form to exponential form: log_b(x) = n means b^n = x,Calculate 3⁴ to find x,
21,standard,Logarithms,Evaluate: log₁₀ 5 + log₁₀ 20,single,,2,2 | = 2 | 2.0,Apply the logarithm product rule: log a + log b = log(a × b),log₁₀ 5 + log₁₀ 20 = log₁₀(5 × 20),Calculate the product: 5 × 20 = 100,Evaluate: log₁₀ 100 = log₁₀ 10² = 2,The answer is 2,Use the product rule to combine the two logs into one: log a + log b = log(ab),"After combining, ask what power of 10 equals the result",
22,standard,Logarithms,Solve: 4^x = 2^(x + 6),single,x,x = 6,x = 6 | 6,"Write 4 as a power of 2: 4 = 2², so 4^x = (2²)^x = 2^(2x)",The equation becomes: 2^(2x) = 2^(x + 6),"Since the bases are equal, the exponents must be equal: 2x = x + 6",Solve: x = 6,Verify: 4⁶ = 4096 and 2^(6+6) = 2¹² = 4096 ✓,Express 4 as a power of 2 so both sides share the same base,"Once both sides have base 2, set the exponents equal and solve",
23,standard,Logarithms,Solve: log x + log(x + 3) = 1  (base 10),single,x,x = 2,x = 2 | 2,Apply the product rule: log x + log(x + 3) = log[x(x + 3)],The equation becomes: log[x(x + 3)] = 1,Convert to exponential form: x(x + 3) = 10¹ = 10,"Expand and rearrange: x² + 3x - 10 = 0, which factors as (x + 5)(x - 2) = 0","Solutions are x = -5 or x = 2. Since log of a negative is undefined, x = 2","Combine the logs using the product rule, then convert to exponential form",You'll get a quadratic — check that your solutions keep x > 0 (you can't log a negative number),
24,standard,Logarithms,Solve: log₂(x + 3) + log₂(x - 1) = 5,single,x,x = 5,x = 5 | 5,Apply the product rule: log₂[(x + 3)(x - 1)] = 5,Convert to exponential form: (x + 3)(x - 1) = 2⁵ = 32,Expand: x² + 2x - 3 = 32,"Rearrange: x² + 2x - 35 = 0, which factors as (x + 7)(x - 5) = 0","x = -7 or x = 5. Since x must satisfy x > 1 (so log₂(x-1) is defined), x = 5","Combine the logs using the product rule, then write 2⁵ = 32 to convert to exponential form",You'll get a quadratic — check which solution keeps both log arguments positive,
25,standard,Functions,Find the domain of f(x) = √(x - 2).,single,x,x ≥ 2,"x ≥ 2 | x >= 2 | [2, ∞) | x is greater than or equal to 2","For a square root to be defined, the expression inside must be non-negative",Set up the inequality: x - 2 ≥ 0,Solve: x ≥ 2,This means f(x) is only defined for x values of 2 or greater,Domain: x ≥ 2,The expression under a square root must be greater than or equal to zero,Solve the inequality x - 2 ≥ 0 to find which x-values are allowed,
26,standard,Functions,"Given f(x) = 2x + 1 and g(x) = x², find f(g(3)).",single,,19,19 | f(g(3)) = 19,"f(g(3)) means: apply g first, then apply f to the result",Step 1 — evaluate g(3): g(3) = 3² = 9,Step 2 — apply f to 9: f(9) = 2(9) + 1 = 19,Therefore f(g(3)) = 19,Note: this differs from g(f(3)) = g(7) = 49 — order matters in compositions,"Work from the inside out — evaluate g(3) first, then feed that result into f",g(3) = 9; now calculate f(9) using f(x) = 2x + 1,
27,standard,Functions,Find the inverse function of f(x) = 3x - 5.,single,x,f⁻¹(x) = (x + 5) / 3,f⁻¹(x) = (x + 5) / 3 | (x + 5) / 3 | (x+5)/3 | f-1(x) = (x+5)/3 | (x+5) / 3,Replace f(x) with y: y = 3x - 5,Swap x and y to find the inverse: x = 3y - 5,Add 5 to both sides: x + 5 = 3y,Divide by 3: y = (x + 5) / 3,Therefore f⁻¹(x) = (x + 5) / 3,"To find an inverse: replace f(x) with y, swap x and y, then solve for y","After swapping, isolate y by first adding 5, then dividing by 3",
28,standard,Functions,"Given f(x) = x + 2 and g(x) = x², find g(f(x)) and expand fully.",single,x,x² + 4x + 4,x² + 4x + 4 | x^2 + 4x + 4 | (x+2)² | (x + 2)^2,g(f(x)) means: substitute f(x) into g in place of x,"f(x) = x + 2, so g(f(x)) = g(x + 2) = (x + 2)²",Expand using (a + b)² = a² + 2ab + b²,(x + 2)² = x² + 2(x)(2) + 2² = x² + 4x + 4,Therefore g(f(x)) = x² + 4x + 4,Replace every x in g(x) with the entire expression f(x) = x + 2,You'll need to expand (x + 2)² using the perfect square rule (a + b)² = a² + 2ab + b²,
29,standard,Functions,State the domain of f(x) = (x + 1) / (x² - 9).,single,x,x ≠ 3 and x ≠ -3,"x ≠ 3 and x ≠ -3 | x ≠ ±3 | all real x except x = 3 and x = -3 | x ≠ 3, x ≠ -3 | x not equal to 3 or -3",A fraction is undefined when its denominator equals zero,Set the denominator equal to zero: x² - 9 = 0,Factor as a difference of squares: (x - 3)(x + 3) = 0,So x = 3 or x = -3 make f undefined,Domain: all real numbers except x = 3 and x = -3,The function is undefined wherever the denominator equals zero — find those x-values,Factor x² - 9 as a difference of two squares,
30,standard,Functions,"Find the inverse of f(x) = (x + 1) / (x - 2),  x ≠ 2.",single,x,f⁻¹(x) = (2x + 1) / (x - 1),f⁻¹(x) = (2x + 1) / (x - 1) | (2x + 1) / (x - 1) | (2x+1)/(x-1) | f-1(x) = (2x+1)/(x-1),Replace f(x) with y: y = (x + 1) / (x - 2),Swap x and y: x = (y + 1) / (y - 2),Multiply both sides by (y - 2): x(y - 2) = y + 1,Expand and collect y-terms: xy - 2x = y + 1  →  xy - y = 2x + 1  →  y(x - 1) = 2x + 1,Divide: f⁻¹(x) = (2x + 1) / (x - 1),"Swap x and y, then multiply both sides by (y - 2) to clear the fraction","Collect all terms with y on one side, factor out y, then divide to isolate it",
31,advanced,Integration,Evaluate: ∫₀^(π/2) sin²(x) dx,single,,π/4,π/4 | pi/4 | 0.785,Use the power reduction identity: sin²(x) = (1 - cos(2x)) / 2,Rewrite the integral: ∫₀^(π/2) (1 - cos(2x)) / 2 dx,Integrate term by term: [x/2 - sin(2x)/4]₀^(π/2),Evaluate at upper bound: π/4 - sin(π)/4 = π/4 - 0 = π/4,"Lower bound gives 0, so the answer is π/4",Use a trig identity to rewrite sin²(x) as something easier to integrate,The power reduction formula sin²(x) = (1 - cos(2x))/2 removes the square,
32,advanced,Integration,Evaluate: ∫₀^1 x·eˣ dx,single,,1,1 | 1.0,Use integration by parts: let u = x and dv = eˣ dx,Then du = dx and v = eˣ,Apply ∫u dv = uv - ∫v du: [xeˣ]₀^1 - ∫₀^1 eˣ dx,Evaluate boundary term: (1·e - 0) = e,Subtract ∫₀^1 eˣ dx = [eˣ]₀^1 = e - 1. Answer: e - (e - 1) = 1,Integration by parts works well here — let u be the polynomial factor,"Let u = x and dv = eˣ dx, so du = dx and v = eˣ",
33,advanced,Integration,Evaluate: ∫₀^1 1 / ((x + 1)(x + 2)) dx,single,,ln(4/3),ln(4/3) | log(4/3) | ln 4/3 | 0.288,Decompose: 1/((x+1)(x+2)) = A/(x+1) + B/(x+2). Multiply through to get 1 = A(x+2) + B(x+1),Set x = -1: A = 1. Set x = -2: B = -1,Integral becomes: ∫₀^1 (1/(x+1) - 1/(x+2)) dx,Integrate: [ln(x+1) - ln(x+2)]₀^1 = [ln((x+1)/(x+2))]₀^1,Evaluate: ln(2/3) - ln(1/2) = ln(2/3 ÷ 1/2) = ln(4/3),Decompose the integrand into partial fractions before integrating,"After decomposing, you'll integrate 1/(x+1) - 1/(x+2); evaluate carefully at both bounds",
34,advanced,Integration,Evaluate: ∫₀^π x·sin(x) dx,single,,π,π | pi | 3.14159 | 3.142,Use integration by parts: let u = x and dv = sin(x) dx,Then du = dx and v = -cos(x),Apply the formula: [-x·cos(x)]₀^π + ∫₀^π cos(x) dx,Boundary term: -π·cos(π) + 0 = -π·(-1) = π,Add ∫₀^π cos(x) dx = [sin(x)]₀^π = 0. Final answer: π,Use integration by parts with u = x (the polynomial factor),The boundary term -π·cos(π) simplifies nicely since cos(π) = -1,
35,advanced,Integration,Evaluate: ∫₀^√3 x·√(x² + 1) dx,single,,7/3,7/3 | 2.333 | 2.33,"Use substitution: let u = x² + 1, so du = 2x dx, meaning x dx = du/2",Change limits: x = 0 → u = 1; x = √3 → u = 4,The integral becomes: (1/2) ∫₁^4 √u du = (1/2) ∫₁^4 u^(1/2) du,Integrate: (1/2) · [2u^(3/2)/3]₁^4 = (1/3)[u^(3/2)]₁^4,Evaluate: (1/3)(4^(3/2) - 1) = (1/3)(8 - 1) = 7/3,Look for a substitution that simplifies the integrand — the x outside the root is a clue,Let u = x² + 1 so that du = 2x dx; the x dx factor becomes du/2,
36,advanced,Integration,Evaluate: ∫₀^(π/2) sin³(x)·cos²(x) dx,single,,2/15,2/15 | 0.133 | 0.1333,"Rewrite: sin³(x) = sin(x)·(1 - cos²(x)), saving one sin(x) for the substitution","Let u = cos(x), so du = -sin(x) dx; limits: x=0 → u=1, x=π/2 → u=0",Integral becomes: ∫₁^0 (1 - u²)·u²·(-du) = ∫₀^1 (u² - u⁴) du,Integrate: [u³/3 - u⁵/5]₀^1,Evaluate: 1/3 - 1/5 = 5/15 - 3/15 = 2/15,Split off one sin(x) factor to pair with dx for a substitution,Let u = cos(x) and use sin²(x) = 1 - u² — the integral becomes a simple polynomial in u,
37,advanced,Differential Equations,"Solve the separable ODE: dy/dx = 2xy, given y(0) = 3.",expression,y,y = 3e^(x²),y = 3e^(x²) | y = 3e^(x^2) | 3e^(x²) | 3e^(x^2),Separate variables: dy/y = 2x dx,Integrate both sides: ln|y| = x² + C,Exponentiate: y = Ae^(x²) where A is a constant,Apply the initial condition y(0) = 3: A·e⁰ = A = 3,Particular solution: y = 3e^(x²),Separate variables by moving all y terms to one side and all x terms to the other,"After integrating, you get ln|y| = x² + C — exponentiate both sides to find y",
38,advanced,Differential Equations,"Solve the first-order linear ODE: dy/dx + y = eˣ, with y(0) = 1.",expression,y,y = (eˣ + e^(-x)) / 2,y = (eˣ + e^(-x)) / 2 | (e^x + e^(-x))/2 | y = cosh(x) | cosh(x),Identify P(x) = 1; the integrating factor is μ = e^(∫1 dx) = eˣ,Multiply through by eˣ: d/dx[y·eˣ] = e^(2x),Integrate both sides: y·eˣ = e^(2x)/2 + C,Divide by eˣ: y = eˣ/2 + Ce^(-x),"Apply y(0) = 1: 1/2 + C = 1, so C = 1/2. Therefore y = (eˣ + e^(-x))/2",This is in the standard form dy/dx + P(x)y = Q(x) — find the integrating factor μ = e^(∫P dx),The integrating factor is eˣ; multiplying through makes the left side d/dx[yeˣ],
39,advanced,Differential Equations,"A population grows proportionally to its size. If P(0) = 500 and P(3) = 2000, find P(6).",single,P,8000,8000 | P(6) = 8000,"The model is dP/dt = kP, giving the solution P(t) = 500·e^(kt)","Apply P(3) = 2000: 500·e^(3k) = 2000, so e^(3k) = 4",The population quadruples every 3 time units,P(6) = P(3) × 4 = 2000 × 4 = 8000,Alternatively: P(6) = 500·(e^(3k))² = 500 × 16 = 8000,Write the exponential model P = 500e^(kt) and use P(3) = 2000 to find the growth factor,"Since e^(3k) = 4, the population quadruples every 3 units — so P(6) = P(3) × 4",
40,advanced,Differential Equations,"Solve: dy/dx = (y + 1)/(x + 1), with y(0) = 1.",expression,y,y = 2x + 1,y = 2x + 1 | 2x + 1 | y = 2(x + 1) - 1,Separate variables: dy/(y + 1) = dx/(x + 1),Integrate both sides: ln|y + 1| = ln|x + 1| + C,Exponentiate: y + 1 = A(x + 1) where A = e^C,"Apply y(0) = 1: 1 + 1 = A(0 + 1), so A = 2","Therefore y + 1 = 2(x + 1), giving y = 2x + 1",Separate variables — both sides integrate to logarithm expressions,After integrating you get y + 1 = A(x + 1); use y(0) = 1 to find A = 2,
41,advanced,Differential Equations,"Solve: x·dy/dx + y = x², with y(3) = 4.",expression,y,y = x²/3 + 3/x,y = x²/3 + 3/x | x^2/3 + 3/x | y = x^2/3 + 3/x,Divide by x to get standard form: dy/dx + y/x = x,Integrating factor: μ = e^(∫1/x dx) = e^(ln x) = x,Multiply through by x: d/dx[xy] = x²,"Integrate: xy = x³/3 + C, so y = x²/3 + C/x",Apply y(3) = 4: 9/3 + C/3 = 4 → C = 3. Therefore y = x²/3 + 3/x,"Divide both sides by x to get the standard linear form, then find the integrating factor","The integrating factor is x; after multiplying, the left side becomes d/dx[xy]",
42,advanced,Differential Equations,Newton's Law of Cooling: dT/dt = -k(T - 20). A body cools from 100°C to 60°C in 5 minutes. Find the temperature after 10 minutes.,single,T,40°C,40°C | 40 | T = 40,"General solution: T - 20 = Ae^(-kt). At t = 0, T = 100, so A = 80","Apply T(5) = 60: 40 = 80·e^(-5k), giving e^(-5k) = 1/2",The excess temperature halves every 5 minutes,At t = 10: T - 20 = 80·(e^(-5k))² = 80·(1/2)² = 80/4 = 20,Therefore T(10) = 20 + 20 = 40°C,Write T - 20 = Ae^(-kt) and use T(0) = 100 to find A = 80,From T(5) = 60 you get e^(-5k) = 1/2; use this squared to find T(10) without computing k,
43,advanced,Matrices,"Find the determinant of A = [[3, 2], [1, 4]].",single,,10,10 | det(A) = 10,"For a 2×2 matrix [[a, b], [c, d]], the determinant is ad - bc","Identify: a = 3, b = 2, c = 1, d = 4",Calculate: det(A) = (3)(4) - (2)(1),= 12 - 2,= 10,For a 2×2 matrix: det = (main diagonal product) - (anti-diagonal product),"det([[3,2],[1,4]]) = 3·4 - 2·1",
44,advanced,Matrices,Use Cramer's Rule to solve the system: 3x + 2y = 8 and x + 4y = 6.,single,x | y,"x = 2, y = 1","x = 2, y = 1 | x=2, y=1 | (2, 1)","Set up the coefficient matrix A = [[3,2],[1,4]]; det(A) = 12 - 2 = 10","For x: replace the x-column with constants → det([[8,2],[6,4]]) = 32 - 12 = 20",x = det_x / det(A) = 20/10 = 2,"For y: replace the y-column with constants → det([[3,8],[1,6]]) = 18 - 8 = 10","y = det_y / det(A) = 10/10 = 1. Solution: x = 2, y = 1",Cramer's Rule: x = det(Aₓ)/det(A) where Aₓ replaces the x-column with the constants vector,"First compute det(A) = 10, then build Aₓ and A_y by substituting the right-hand side values",
45,advanced,Matrices,"Find the eigenvalues of A = [[4, 1], [2, 3]].",multiple,λ,"λ = 2, 5","λ = 2, 5 | λ = 5, 2 | 2, 5 | 5, 2 | λ = 2 and λ = 5",Set up the characteristic equation: det(A - λI) = 0,"det([[4-λ, 1],[2, 3-λ]]) = (4-λ)(3-λ) - 2 = 0",Expand: λ² - 7λ + 12 - 2 = λ² - 7λ + 10 = 0,Factor: (λ - 2)(λ - 5) = 0,Eigenvalues: λ = 2 and λ = 5,Eigenvalues come from det(A - λI) = 0 — subtract λ from each main diagonal entry,Expanding gives λ² - 7λ + 10 = 0; factor this quadratic,
46,advanced,Matrices,"If A = [[2, 1], [0, 3]], find det(A³).",single,,216,216,Use the multiplicative property of determinants: det(Aⁿ) = det(A)ⁿ,Calculate det(A) = (2)(3) - (1)(0) = 6,Apply the property: det(A³) = det(A)³ = 6³,Calculate: 6³ = 6 × 6 × 6 = 216,Therefore det(A³) = 216,"Use the key identity det(AB) = det(A)·det(B), which extends to det(Aⁿ) = det(A)ⁿ","Find det(A) first (a simple 2×2), then raise it to the third power",
47,advanced,Matrices,"Given A = [[1, 2], [3, 4]] and B = [[0, 1], [1, 0]], find det(AB).",single,,2,2,Use the property det(AB) = det(A) · det(B) — no need to multiply the matrices,Calculate det(A) = (1)(4) - (2)(3) = 4 - 6 = -2,Calculate det(B) = (0)(0) - (1)(1) = -1,Apply: det(AB) = (-2)(-1) = 2,Therefore det(AB) = 2,The determinant is multiplicative: det(AB) = det(A)·det(B),"Compute each 2×2 determinant separately, then multiply the results",
48,advanced,Matrices,"Find the determinant of A = [[1, 2, 3], [0, 1, 4], [5, 6, 0]].",single,,1,1,Expand along the first column — the zero in row 2 eliminates one term,"det = 1·det([[1,4],[6,0]]) - 0 + 5·det([[2,3],[1,4]])","First minor: det([[1,4],[6,0]]) = (1)(0) - (4)(6) = -24","Third minor: det([[2,3],[1,4]]) = (2)(4) - (3)(1) = 5",det(A) = 1(-24) + 5(5) = -24 + 25 = 1,"Expand along the first column — the zero in position (2,1) means that term vanishes","You only need two 2×2 minors: det([[1,4],[6,0]]) and det([[2,3],[1,4]])",
49,advanced,Vectors,"Given a = (2, 1, 3) and b = (1, -1, 2), find a · b.",single,,7,7,The dot product is a · b = a₁b₁ + a₂b₂ + a₃b₃,Substitute the components: (2)(1) + (1)(-1) + (3)(2),= 2 - 1 + 6,= 7,Therefore a · b = 7,Multiply corresponding components and sum the results,a · b = (2)(1) + (1)(-1) + (3)(2) — compute each product then add,
50,advanced,Vectors,"Find the cross product a × b where a = (1, 0, 1) and b = (0, 1, 1).",single,,"(-1, -1, 1)","(-1, -1, 1) | (-1,-1,1) | -i - j + k","Use the determinant formula with i, j, k in the first row",i-component: (0)(1) - (1)(1) = -1,j-component: -[(1)(1) - (1)(0)] = -1,k-component: (1)(1) - (0)(0) = 1,"a × b = (-1, -1, 1)","Set up the 3×3 determinant with i, j, k in row 1, then a and b in rows 2 and 3",Remember the j-component picks up a negative sign: j = -[(a₁b₃ - a₃b₁)],
